               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088282,            0.020476,            0.035114,           0.0023141,             0.24585,           0.0022036,           0.0005919,            0.077222,            0.014146,            0.030207,            0.070143,           0.0033175,           0.0033175
                   1,            0.061842,            0.017438,            0.030188,              0.3722,             0.27516,             0.13508,            0.048817,            0.050674,            0.010128,            0.028838,            0.039594,           0.0061021,           0.0061021
                   2,            0.053596,            0.012665,            0.029474,             0.40449,             0.39157,             0.21752,            0.084298,            0.048461,           0.0098551,            0.027282,           0.0084955,           0.0083367,           0.0083367
                   3,            0.048975,            0.011236,             0.02598,             0.46613,             0.33433,             0.25565,             0.10366,            0.048837,           0.0088176,            0.024325,            0.007525,            0.007525,            0.007525
                   4,            0.046212,            0.010487,            0.022294,             0.60243,             0.39081,             0.38037,             0.16209,            0.042523,           0.0072891,            0.017582,            0.007525,            0.007525,            0.007525
                   5,            0.044243,           0.0099474,            0.019192,             0.66011,             0.44914,             0.48432,             0.22739,            0.040627,           0.0065775,            0.015836,              0.0067,              0.0067,              0.0067
                   6,            0.042928,           0.0096476,            0.015977,             0.76006,             0.48854,             0.52882,             0.23561,            0.040942,            0.006371,            0.011685,            0.005875,            0.005875,            0.005875
                   7,            0.041768,           0.0094816,             0.01316,             0.84895,             0.49967,             0.62088,             0.29826,            0.039781,           0.0061143,            0.008818,             0.00505,             0.00505,             0.00505
                   8,            0.040977,           0.0092677,            0.011082,              0.8861,             0.55469,             0.63262,             0.31531,            0.038493,           0.0058834,           0.0066074,            0.004225,            0.004225,            0.004225
                   9,            0.039786,            0.009023,           0.0093803,             0.91514,             0.58353,             0.70133,              0.3569,            0.037559,           0.0057409,           0.0046949,              0.0034,              0.0034,              0.0034
                  10,            0.039058,            0.008838,           0.0079367,             0.91335,             0.63881,             0.73738,             0.38211,            0.036894,           0.0055883,           0.0033348,            0.002575,            0.002575,            0.002575
                  11,             0.03834,           0.0086452,           0.0066842,             0.90809,             0.66195,             0.74699,             0.40977,            0.035144,           0.0053639,           0.0024766,             0.00175,             0.00175,             0.00175
