                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2433,                 2.2885,                 1.1325,                0.22738,                0.22054,                0.17081,                 0.1178,                 1.2041,                 4.0872,                0.71988,             0.00046852,             0.00046852,             0.00046852
                      2,                 1.1192,                 1.4512,                 1.0681,                0.32574,                0.09557,                0.14989,                0.10373,                 1.1336,                  2.818,                0.72456,             0.00086691,             0.00086691,             0.00086691
                      3,                 1.0798,                 1.4319,                 1.0501,                0.25974,                 0.0634,                0.14277,                0.09888,                 1.1098,                 2.9483,                0.67604,              0.0011867,              0.0011867,              0.0011867
                      4,                 1.0528,                 1.3418,                 1.0334,                0.30418,                0.05464,                0.13903,                0.09381,                 1.1209,                 2.5651,                0.70772,              0.0010753,              0.0010753,              0.0010753
                      5,                 1.0434,                 1.3323,                 1.0537,                0.33689,                0.26373,                 0.2208,                0.15867,                 1.0302,                 2.5583,                0.70973,             0.00095743,             0.00095743,             0.00095743
                      6,                 1.0177,                 1.2733,                 1.0309,                0.32457,                 0.1188,                0.16549,                0.11778,                 1.0454,                 2.4811,                0.71069,             0.00083954,             0.00083954,             0.00083954
                      7,                 1.0066,                 1.2386,                 1.0228,                0.32258,                0.08996,                0.15336,                0.10669,                 1.0496,                 2.4394,                0.70683,             0.00072164,             0.00072164,             0.00072164
                      8,                0.99721,                 1.2295,                  1.018,                0.30951,                0.06314,                0.14582,                0.10074,                 1.0024,                 2.3869,                0.68609,             0.00060375,             0.00060375,             0.00060375
                      9,                 0.9832,                 1.2283,                 1.0261,                0.33559,                0.25004,                0.22192,                0.16015,                 1.0329,                 2.4081,                0.70969,             0.00048586,             0.00048586,             0.00048586
                     10,                0.97151,                 1.1914,                  1.019,                0.32516,                0.11324,                0.16686,                0.12033,                0.99327,                 2.3465,                0.69166,             0.00036797,             0.00036797,             0.00036797
                     11,                0.96112,                 1.1719,                 1.0113,                0.32492,                0.09808,                0.15778,                 0.1132,                 1.0006,                 2.3206,                0.69214,             0.00025007,             0.00025007,             0.00025007
                     12,                0.95596,                 1.1649,                 1.0062,                0.31455,                0.06322,                0.14728,                0.10218,                0.99022,                 2.3163,                0.69218,             0.00013218,             0.00013218,             0.00013218
