                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1204,                 3.7499,                 2.0701,                0.01113,                0.35327,                0.03513,                0.01703,                 1.2432,                  3.579,                 1.4599,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.8944,                 3.6532,                 1.9091,                0.02624,                0.54027,                0.09324,                0.05062,                 1.0485,                 3.5453,                 1.3026,             9.8483e-05,             9.8483e-05,             9.8483e-05
                      3,                 1.7122,                  3.417,                 1.7609,                0.02868,                0.55957,                0.13703,                0.07055,                 1.0737,                 3.4144,                 1.2036,             0.00015233,             0.00015233,             0.00015233
                      4,                 1.6543,                 2.9552,                 1.6531,                0.04022,                0.63728,                0.19815,                0.11725,                 1.1877,                 3.0276,                 1.1531,              0.0002044,              0.0002044,              0.0002044
                      5,                 1.7233,                 2.5099,                 1.6744,                 0.0427,                0.65817,                0.37828,                0.25829,                 1.2415,                 2.7924,                 1.1684,             0.00025471,             0.00025471,             0.00025471
                      6,                 1.6625,                 2.1123,                 1.6275,                0.72366,                0.56899,                0.46479,                0.31407,                 1.2441,                 2.5904,                 1.1693,             0.00030325,             0.00030325,             0.00030325
                      7,                 1.5597,                 1.8605,                 1.5809,                0.84527,                  0.208,                0.40552,                0.26211,                 1.4095,                 2.6398,                 1.3075,             0.00035002,             0.00035002,             0.00035002
                      8,                  1.508,                 1.6897,                 1.5721,                0.88143,                0.24193,                0.44488,                0.28167,                 1.4621,                 2.7235,                 1.3285,             0.00039502,             0.00039502,             0.00039502
                      9,                 1.4771,                 1.5836,                 1.5764,                0.88353,                0.13128,                0.37656,                0.21086,                 1.6534,                 3.0314,                  1.542,             0.00043826,             0.00043826,             0.00043826
                     10,                 1.4694,                 1.4764,                 1.5491,                0.71991,                 0.5406,                0.68754,                0.39702,                 1.4703,                 2.3076,                  1.323,             0.00047972,             0.00047972,             0.00047972
                     11,                  1.443,                  1.394,                 1.5395,                0.74784,                0.51292,                 0.6942,                0.42965,                  1.612,                 2.3367,                 1.3963,             0.00051942,             0.00051942,             0.00051942
                     12,                 1.4073,                  1.326,                  1.496,                0.77208,                0.68761,                0.77703,                0.49312,                 1.3496,                 1.9425,                 1.2025,             0.00055735,             0.00055735,             0.00055735
                     13,                 1.4059,                 1.3101,                 1.5061,                0.74239,                 0.7646,                0.78777,                0.51284,                 1.3165,                 1.6827,                 1.1555,             0.00059351,             0.00059351,             0.00059351
                     14,                 1.3795,                 1.2515,                 1.4863,                0.77317,                0.69263,                0.77867,                0.50756,                 1.3141,                 1.8095,                  1.214,              0.0006279,              0.0006279,              0.0006279
                     15,                 1.3664,                 1.2147,                 1.4842,                0.79008,                0.62147,                0.79776,                0.48657,                 1.2716,                 1.9222,                 1.2075,             0.00066052,             0.00066052,             0.00066052
                     16,                 1.3572,                 1.2147,                 1.4624,                0.81244,                0.76824,                0.82988,                0.52452,                 1.3414,                 1.7821,                  1.229,             0.00069138,             0.00069138,             0.00069138
                     17,                 1.3212,                 1.1648,                 1.4306,                0.77877,                0.77225,                0.84373,                0.53212,                 1.2405,                 1.7488,                 1.1885,             0.00072047,             0.00072047,             0.00072047
                     18,                 1.3291,                 1.1804,                 1.4518,                0.91568,                0.61413,                0.84402,                 0.5415,                 1.2889,                  2.445,                 1.2631,             0.00074778,             0.00074778,             0.00074778
                     19,                 1.2839,                   1.12,                 1.4192,                0.86224,                0.72482,                 0.8462,                0.53181,                 1.2788,                 2.2467,                 1.2891,             0.00077333,             0.00077333,             0.00077333
                     20,                  1.301,                 1.1039,                 1.4268,                0.80045,                0.64763,                0.78423,                0.48524,                 1.3139,                 2.2393,                 1.3621,             0.00079712,             0.00079712,             0.00079712
                     21,                 1.2953,                 1.1187,                 1.4181,                0.78845,                0.83537,                0.85837,                0.51511,                 1.2705,                 1.5938,                 1.2719,             0.00081913,             0.00081913,             0.00081913
                     22,                 1.2822,                 1.0848,                 1.4264,                0.81188,                0.76279,                0.84167,                0.55616,                 1.2454,                 1.7057,                 1.2867,             0.00083937,             0.00083937,             0.00083937
                     23,                 1.2738,                 1.0919,                 1.4025,                0.80541,                0.86607,                0.86682,                0.55908,                 1.2518,                 1.2802,                 1.3393,             0.00085785,             0.00085785,             0.00085785
                     24,                 1.2669,                 1.0886,                 1.3987,                0.70168,                 0.7602,                0.84226,                0.53894,                 1.3058,                 1.4237,                 1.3032,             0.00087456,             0.00087456,             0.00087456
                     25,                 1.2711,                 1.0931,                 1.3975,                0.75326,                0.84978,                0.86199,                0.56847,                 1.2223,                 1.1323,                 1.2656,              0.0008895,              0.0008895,              0.0008895
                     26,                 1.2795,                 1.1008,                 1.3957,                0.74606,                0.80423,                0.84359,                0.54237,                 1.2492,                 1.3126,                 1.3322,             0.00087638,             0.00087638,             0.00087638
                     27,                 1.2683,                 1.0696,                 1.4144,                0.69734,                0.87804,                0.85488,                0.56101,                 1.2066,                 1.0448,                 1.2384,             0.00085427,             0.00085427,             0.00085427
                     28,                 1.2518,                  1.061,                 1.3992,                0.67233,                0.86769,                0.86091,                0.56439,                 1.1642,                 1.0702,                  1.267,             0.00083217,             0.00083217,             0.00083217
                     29,                 1.2492,                 1.0378,                 1.3897,                0.75526,                0.87631,                0.83712,                0.55888,                 1.1955,                  1.091,                 1.2547,             0.00081006,             0.00081006,             0.00081006
                     30,                  1.245,                 1.0293,                 1.3827,                0.78708,                0.91232,                0.86476,                0.57368,                 1.1212,                 1.0418,                 1.2355,             0.00078796,             0.00078796,             0.00078796
                     31,                 1.2519,                 1.0139,                 1.3991,                0.77868,                0.85976,                0.86443,                  0.568,                 1.1494,                  1.138,                 1.2561,             0.00076585,             0.00076585,             0.00076585
                     32,                 1.2362,                 1.0246,                 1.3858,                0.79736,                0.83953,                 0.8816,                0.58555,                 1.1291,                 1.2035,                 1.2483,             0.00074375,             0.00074375,             0.00074375
                     33,                 1.2268,                 1.0301,                 1.3773,                0.75203,                0.77288,                0.87398,                0.58549,                 1.1117,                 1.2231,                 1.2644,             0.00072164,             0.00072164,             0.00072164
