                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7937,                 3.9095,                 1.3613,                      0,                      0,                      0,                      0,                 1.3039,                 3.9505,                 1.1106,             0.00021435,             0.00021435,             0.00021435
                      2,                 1.5818,                 3.0411,                 1.1245,                0.36129,                0.00204,                0.18202,                0.10694,                 1.4178,                 3.2075,                 1.0653,             0.00040644,             0.00040644,             0.00040644
                      3,                 1.2541,                 1.8498,                0.96379,                0.29798,                0.00781,                0.15198,                 0.0997,                 1.3355,                 2.4919,                 1.0325,             0.00056081,             0.00056081,             0.00056081
                      4,                 1.1444,                 1.5558,                0.94653,                0.53704,                0.00134,                0.26959,                0.17042,                   1.27,                 2.1626,                0.99263,             0.00067745,             0.00067745,             0.00067745
                      5,                 1.1033,                 1.4117,                0.93651,                0.32292,                 0.0033,                0.16311,                0.11676,                 1.1627,                 1.7281,                0.96763,             0.00075637,             0.00075637,             0.00075637
                      6,                 1.0931,                 1.3423,                0.93372,                0.29167,                0.00149,                0.14669,                0.09745,                 1.1604,                 1.5348,                0.95833,             0.00079756,             0.00079756,             0.00079756
                      7,                 1.0793,                 1.3005,                0.92914,                0.29167,                0.00149,                0.14669,                0.09745,                 1.1092,                 1.4596,                0.95625,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.0633,                 1.2797,                0.93385,                0.33333,                0.00064,                0.16698,                0.14195,                 1.0594,                  1.389,                0.94989,             0.00060375,             0.00060375,             0.00060375
                      9,                 1.0344,                 1.2525,                0.92496,                0.33333,                0.00021,                0.16677,                0.11674,                  1.086,                  1.391,                0.95498,             0.00048586,             0.00048586,             0.00048586
                     10,                 1.0262,                 1.2403,                0.92155,                0.64653,                  0.015,                0.33058,                0.25498,                 1.0644,                 1.2946,                 0.9515,             0.00036797,             0.00036797,             0.00036797
                     11,                 1.0261,                 1.2383,                0.92107,                0.31206,                0.00468,                0.15839,                0.12459,                 1.0444,                 1.2912,                0.94389,             0.00025007,             0.00025007,             0.00025007
                     12,                0.99956,                 1.2124,                0.91857,                0.31515,                0.03317,                0.17347,                0.12631,                 1.0486,                 1.2604,                0.94786,             0.00013218,             0.00013218,             0.00013218
