                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7871,                 1.9927,                 1.3526,                0.28172,                0.00968,                 0.0039,                0.00101,                 1.9346,                 7.7432,                0.97251,               0.070142,              0.0033175,              0.0033175
                      2,                 1.7774,                 1.6696,                 1.3554,                0.26103,                0.00348,                0.00231,                0.00038,                 1.9441,                 9.1844,                 1.0104,               0.039593,              0.0061022,              0.0061022
                      3,                 1.7384,                 1.5681,                   1.42,                0.28428,                0.00293,                0.00161,                0.00043,                 1.9918,                 5.8637,                 1.0121,              0.0084948,              0.0083368,              0.0083368
                      4,                 1.7035,                 1.4879,                 1.3988,                0.33518,                0.00745,                0.01239,                0.00363,                 1.7207,                 3.1803,                0.93317,               0.007525,               0.007525,               0.007525
                      5,                 1.6739,                 1.3983,                 1.3721,                0.33658,                0.01573,                0.01342,                0.00267,                 1.7809,                 3.3028,                0.93279,                 0.0067,                 0.0067,                 0.0067
                      6,                  1.651,                 1.3163,                 1.3663,                0.31711,                0.01062,                0.00936,                0.00166,                 1.7026,                 3.0671,                0.92448,               0.005875,               0.005875,               0.005875
                      7,                 1.6323,                 1.2231,                 1.3507,                0.36011,                 0.0275,                0.02366,                0.00488,                 1.6165,                 2.6854,                0.87876,                0.00505,                0.00505,                0.00505
                      8,                 1.6077,                 1.1426,                 1.3369,                0.47831,                0.05415,                0.04934,                0.00848,                  1.565,                 2.1792,                0.88062,               0.004225,               0.004225,               0.004225
                      9,                 1.5828,                 1.0543,                  1.324,                0.41621,                0.06159,                0.04707,                0.00799,                 1.5806,                 2.1026,                0.87497,                 0.0034,                 0.0034,                 0.0034
                     10,                  1.555,                0.96984,                 1.3028,                0.49508,                0.07343,                0.06868,                0.01219,                 1.5171,                 1.8919,                0.84625,               0.002575,               0.002575,               0.002575
                     11,                  1.532,                0.87834,                 1.2805,                0.21998,                0.07342,                0.06962,                0.01418,                 1.5061,                 1.6221,                0.82605,                0.00175,                0.00175,                0.00175
                     12,                 1.4939,                0.80049,                 1.2553,                0.53311,                0.10119,                0.10307,                 0.0265,                 1.4549,                  1.514,                0.81002,               0.000925,               0.000925,               0.000925
