                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.751,                 2.7889,                 1.3026,                0.13918,                0.01639,                0.01047,                0.00241,                 1.6617,                 3.2674,                0.84124,             0.00041469,             0.00041469,             0.00041469
                      2,                  1.651,                 1.6077,                 1.2286,                0.18654,                0.00831,                0.01282,                0.00275,                 1.6598,                 2.9812,                 0.8365,             0.00076277,             0.00076277,             0.00076277
                      3,                 1.6211,                 1.2536,                 1.2596,                0.10612,                 0.0164,                0.01809,                 0.0032,                 1.6753,                 2.4754,                0.83358,              0.0010421,              0.0010421,              0.0010421
                      4,                 1.5929,                 1.0477,                 1.2481,                0.45879,                0.03541,                 0.0289,                0.00519,                 1.5664,                 2.0324,                0.82017,             0.00094062,             0.00094062,             0.00094062
                      5,                   1.55,                0.91575,                  1.216,                0.19145,                0.06539,                0.06044,                 0.0122,                 1.5322,                 2.3172,                0.79374,              0.0008375,              0.0008375,              0.0008375
                      6,                 1.5197,                0.80978,                 1.2006,                0.56403,                0.10353,                0.10646,                0.02885,                 1.5073,                 1.5826,                0.78881,             0.00073437,             0.00073437,             0.00073437
                      7,                 1.4869,                0.74266,                 1.1825,                0.21209,                0.12939,                0.10645,                0.02702,                 1.4994,                 1.5429,                0.77622,             0.00063125,             0.00063125,             0.00063125
                      8,                 1.4665,                0.69368,                  1.169,                0.58045,                0.19734,                0.18803,                0.06176,                 1.4465,                 1.2962,                0.76209,             0.00052812,             0.00052812,             0.00052812
                      9,                 1.4338,                0.63955,                 1.1517,                0.67163,                 0.5101,                0.49742,                0.17499,                 1.4437,                 1.2284,                0.76189,               0.000425,               0.000425,               0.000425
                     10,                 1.4119,                0.60049,                 1.1376,                 0.7196,                0.56543,                0.57559,                0.23508,                 1.4345,                 1.1697,                 0.7567,             0.00032188,             0.00032188,             0.00032188
                     11,                 1.3824,                0.56661,                 1.1226,                0.73918,                0.59723,                0.60532,                0.25881,                  1.391,                 1.1072,                0.73887,             0.00021875,             0.00021875,             0.00021875
                     12,                 1.3576,                0.53742,                 1.1114,                0.77459,                0.64809,                0.66779,                0.31735,                 1.3814,                 1.0506,                0.73627,             0.00011563,             0.00011563,             0.00011563
