                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.876,                 2.7015,                  1.358,                0.49857,                0.02636,                0.26244,                 0.1754,                 1.6895,                  3.148,                0.84622,             0.00041469,             0.00041469,             0.00041469
                      2,                 1.7088,                 1.7452,                 1.2518,                0.57146,                0.13996,                0.35753,                0.25274,                 1.6548,                 2.8422,                0.82193,             0.00076277,             0.00076277,             0.00076277
                      3,                 1.6219,                 1.3254,                 1.2646,                 0.6268,                0.05053,                0.33905,                0.24449,                 1.7195,                 3.0293,                0.86765,              0.0010421,              0.0010421,              0.0010421
                      4,                 1.5901,                 1.0818,                 1.2466,                0.77856,                0.24705,                0.49129,                0.34504,                 1.5929,                 2.0745,                0.82888,             0.00094062,             0.00094062,             0.00094062
                      5,                 1.5517,                0.92748,                 1.2249,                0.98007,                0.32031,                 0.6511,                0.43778,                 1.5806,                 1.8032,                0.81202,              0.0008375,              0.0008375,              0.0008375
                      6,                 1.5165,                0.82722,                 1.2038,                0.99048,                0.40334,                0.69605,                0.48146,                 1.5341,                 1.5117,                0.79736,             0.00073437,             0.00073437,             0.00073437
                      7,                 1.4868,                0.74949,                 1.1833,                0.99192,                0.33785,                0.66479,                0.47037,                 1.5197,                  1.479,                0.78924,             0.00063125,             0.00063125,             0.00063125
                      8,                 1.4593,                0.69465,                 1.1672,                0.99049,                0.57234,                0.78301,                0.54739,                 1.4629,                 1.3155,                0.76691,             0.00052812,             0.00052812,             0.00052812
                      9,                 1.4337,                0.64558,                 1.1498,                0.99063,                0.60212,                0.79634,                0.56713,                 1.4485,                 1.2231,                0.76944,               0.000425,               0.000425,               0.000425
                     10,                 1.4097,                 0.6047,                 1.1386,                0.98976,                0.62972,                0.81129,                0.58055,                 1.4305,                 1.1613,                0.75446,             0.00032188,             0.00032188,             0.00032188
                     11,                 1.3851,                0.56938,                 1.1252,                0.99528,                0.71354,                0.85521,                0.61502,                 1.4115,                 1.1067,                0.74565,             0.00021875,             0.00021875,             0.00021875
                     12,                 1.3564,                0.53863,                 1.1102,                0.97962,                0.73673,                0.86356,                0.61354,                 1.4001,                 1.0674,                0.74403,             0.00011563,             0.00011563,             0.00011563
