                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7679,                 2.7912,                 1.4524,                0.09534,                0.02415,                0.01458,                0.00324,                 1.6752,                 3.4425,                0.93082,               0.070142,              0.0033175,              0.0033175
                      2,                 1.6544,                 1.6264,                 1.2799,                  0.083,                0.04118,                0.02268,                0.00399,                 1.6638,                 3.1383,                0.86977,               0.039593,              0.0061022,              0.0061022
                      3,                 1.6315,                 1.3928,                 1.3025,                0.07436,                0.01887,                0.01011,                 0.0026,                 1.6912,                 4.3263,                0.90481,              0.0084948,              0.0083368,              0.0083368
                      4,                 1.6313,                 1.2121,                 1.3004,                0.47575,                0.08431,                0.06156,                0.01135,                 1.6162,                 2.3783,                0.85166,               0.007525,               0.007525,               0.007525
                      5,                 1.5817,                 1.0247,                 1.2675,                0.19855,                0.08577,                0.07118,                0.01489,                 1.5931,                 2.1116,                0.83774,                 0.0067,                 0.0067,                 0.0067
                      6,                 1.5501,                 0.9127,                 1.2427,                0.49951,                0.11087,                0.10483,                0.02583,                 1.5359,                 1.8438,                 0.8016,               0.005875,               0.005875,               0.005875
                      7,                 1.5192,                0.82393,                 1.2155,                0.59335,                0.16712,                0.17298,                0.05076,                 1.5312,                 1.6025,                0.79691,                0.00505,                0.00505,                0.00505
                      8,                 1.4952,                0.75993,                 1.2053,                 0.4796,                0.11661,                0.08015,                0.02602,                 1.4757,                 1.4769,                0.78961,               0.004225,               0.004225,               0.004225
                      9,                 1.4671,                0.70106,                 1.1859,                0.55312,                0.16209,                0.14569,                0.05031,                 1.4881,                 1.4578,                 0.7813,                 0.0034,                 0.0034,                 0.0034
                     10,                 1.4388,                0.65568,                 1.1656,                0.67557,                0.18734,                0.18552,                0.08405,                 1.4289,                 1.2549,                0.76142,               0.002575,               0.002575,               0.002575
                     11,                 1.4113,                0.61319,                 1.1476,                0.67762,                0.29238,                0.29294,                0.15164,                 1.4212,                  1.156,                0.75857,                0.00175,                0.00175,                0.00175
                     12,                 1.3774,                0.57267,                 1.1283,                0.71641,                0.57082,                0.58324,                0.27061,                 1.3817,                 1.0899,                0.74412,               0.000925,               0.000925,               0.000925
